,tail_id,score,tail_label,in_validation,in_testing
1232,1232,1.7437770366668701,Q68,False,False
791,791,1.7051714658737183,Q251,False,False
1447,1447,1.5417214632034302,Q9143,False,False
540,540,1.5160422325134277,Q175263,False,False
979,979,1.4592039585113525,Q395,False,False
405,405,1.4405721426010132,Q131476,False,False
1292,1292,1.4318978786468506,Q7397,False,False
281,281,1.407994031906128,Q115564437,False,False
889,889,1.3994303941726685,Q30642,False,False
685,685,1.3643169403076172,Q206904,False,False
524,524,1.360703945159912,Q17146476,False,False
798,798,1.2776868343353271,Q2539,False,False
499,499,1.271030068397522,Q166142,False,False
748,748,1.2626663446426392,Q2267705,False,False
648,648,1.2492241859436035,Q19399674,False,False
605,605,1.2340151071548462,Q188522,False,False
589,589,1.2098726034164429,Q186055,False,False
1032,1032,1.2029327154159546,Q467731,False,False
771,771,1.1463649272918701,Q23793561,False,False
846,846,1.1412625312805176,Q28470421,False,False
1326,1326,1.1343317031860352,Q7673435,False,False
792,792,1.1179285049438477,Q251212,False,False
586,586,1.1176042556762695,Q185612,False,False
583,583,1.1087849140167236,Q184793,False,False
1347,1347,1.0996108055114746,Q80993,False,False
1071,1071,1.0933572053909302,Q50423863,False,False
857,857,1.08908212184906,Q28865,False,False
1405,1405,1.0787057876586914,Q8513,False,False
443,443,1.0516585111618042,Q141488,False,False
761,761,1.047474980354309,Q232661,False,False
678,678,1.0300068855285645,Q205084,False,False
636,636,1.0286130905151367,Q192776,False,False
624,624,1.0111347436904907,Q190087,False,False
1138,1138,1.0100178718566895,Q5862903,False,False
1411,1411,1.0039085149765015,Q85810444,False,False
293,293,0.9946269989013672,Q116777014,False,False
641,641,0.9935188293457031,Q193076,False,False
688,688,0.9876837730407715,Q207434,False,False
72,72,0.979424238204956,Q1026367,False,False
1378,1378,0.9735876321792603,Q830687,False,False
537,537,0.9734947681427002,Q174666,False,False
1379,1379,0.9701493978500366,Q831366,False,False
1193,1193,0.9612979292869568,Q638608,False,False
578,578,0.9518060088157654,Q18395344,False,False
977,977,0.9493240714073181,Q388,False,False
769,769,0.9377071261405945,Q2374463,False,False
