,tail_id,score,tail_label,in_validation,in_testing
485,485,304.64312744140625,Q1593782,False,False
182,182,301.4836120605469,Q107381442,False,False
61,61,298.3885498046875,P856,False,False
904,904,297.4618225097656,Q3238057,False,False
506,506,291.3759460449219,Q16889133,False,False
1316,1316,291.2974853515625,Q759899,False,False
1242,1242,288.8364562988281,Q7012332,False,False
101,101,286.0440673828125,Q1053358,False,False
1248,1248,285.1129455566406,Q7035728,False,False
830,830,281.8139953613281,Q2765105,False,False
993,993,281.60577392578125,Q41689629,False,False
1474,1474,281.0415954589844,Q96369982,False,False
1483,1483,280.4743957519531,Q9852,False,False
611,611,279.5407409667969,Q188860,False,False
87,87,279.44580078125,Q1047554,False,False
741,741,278.4989318847656,Q223335,False,False
857,857,278.2945556640625,Q28865,False,False
1138,1138,278.2120056152344,Q5862903,False,False
1004,1004,277.60784912109375,Q43283,False,False
1070,1070,277.2375793457031,Q5034491,False,False
883,883,277.19903564453125,Q3050461,False,False
1206,1206,276.9439697265625,Q6504956,False,False
1415,1415,276.89764404296875,Q8591663,False,False
889,889,276.7644958496094,Q30642,False,False
1223,1223,276.4801940917969,Q66747126,False,False
139,139,276.3020935058594,Q105850508,False,False
526,526,276.2330322265625,Q17155032,False,False
295,295,276.1424865722656,Q116921423,False,False
707,707,276.0148620605469,Q21198,False,False
28,28,275.8319091796875,P2910,False,False
169,169,275.75714111328125,Q1070689,False,False
1363,1363,275.599609375,Q8226474,False,False
685,685,275.1112365722656,Q206904,False,False
641,641,275.0738830566406,Q193076,False,False
290,290,275.0342712402344,Q11660,False,False
1386,1386,274.9164123535156,Q8366,False,False
1339,1339,274.87750244140625,Q79872,False,False
430,430,274.82379150390625,Q13677,False,False
1074,1074,274.5982971191406,Q504843,False,False
863,863,274.52294921875,Q2904006,False,False
714,714,274.4981689453125,Q21447895,False,False
1274,1274,274.4779968261719,Q724168,False,False
332,332,274.40911865234375,Q116964947,False,False
798,798,274.3672180175781,Q2539,False,False
723,723,274.2673645019531,Q216601,False,False
391,391,274.2561950683594,Q127879,False,False
617,617,274.23138427734375,Q189224,False,False
790,790,274.1043701171875,Q2493,False,False
444,444,274.0779724121094,Q141495,False,False
748,748,274.01116943359375,Q2267705,False,False
337,337,273.9778137207031,Q117245199,False,False
1347,1347,273.8310241699219,Q80993,False,False
1306,1306,273.8260803222656,Q751443,False,False
1,1,273.7705993652344,P101,False,False
905,905,273.64666748046875,Q3240252,False,False
405,405,273.6041259765625,Q131476,False,False
281,281,273.4440002441406,Q115564437,False,False
1447,1447,273.4325866699219,Q9143,False,False
964,964,273.1170959472656,Q376937,False,False
559,559,272.9811096191406,Q177929,False,False
1322,1322,272.9589538574219,Q764810,False,False
1425,1425,272.81781005859375,Q874709,False,False
1287,1287,272.80731201171875,Q735441,False,False
599,599,272.7734069824219,Q187588,False,False
1344,1344,272.7621765136719,Q8078,False,False
977,977,272.6971435546875,Q388,False,False
1340,1340,272.68011474609375,Q80006,False,False
624,624,272.6606750488281,Q190087,False,False
1379,1379,272.6330871582031,Q831366,False,False
1292,1292,272.5768737792969,Q7397,False,False
1365,1365,272.5733947753906,Q82571,False,False
259,259,272.4663391113281,Q113660857,False,False
293,293,272.4351806640625,Q116777014,False,False
1480,1480,272.3314208984375,Q980509,False,False
936,936,272.3022155761719,Q34253,False,False
933,933,272.2948303222656,Q3403615,False,False
771,771,272.2386474609375,Q23793561,False,False
899,899,272.20068359375,Q31479975,False,False
553,553,272.1108703613281,Q176953,False,False
540,540,272.0205078125,Q175263,False,False
918,918,272.0146179199219,Q333464,False,False
866,866,272.00103759765625,Q29120,False,False
564,564,271.9604187011719,Q179976,False,False
22,22,271.8927001953125,P2184,False,False
571,571,271.8627014160156,Q18209310,False,False
661,661,271.8411865234375,Q197536,False,False
394,394,271.811279296875,Q128570,False,False
490,490,271.5764465332031,Q163310,False,False
988,988,271.5705261230469,Q403574,False,False
1000,1000,271.5057678222656,Q42848,False,False
1405,1405,271.4439392089844,Q8513,False,False
501,501,271.43585205078125,Q1668024,False,False
1185,1185,271.3718566894531,Q63085353,False,False
637,637,271.35760498046875,Q1928222,False,False
568,568,271.3499755859375,Q180634,False,False
72,72,271.33026123046875,Q1026367,False,False
267,267,271.3111267089844,Q1143367,False,False
464,464,271.2724609375,Q149972,False,False
1291,1291,271.26666259765625,Q7388648,False,False
236,236,271.20953369140625,Q11216,False,False
1394,1394,271.1952209472656,Q844718,False,False
1317,1317,271.10040283203125,Q7600677,False,False
434,434,271.0649108886719,Q13785927,False,False
944,944,271.06256103515625,Q3510521,False,False
636,636,270.9566650390625,Q192776,False,False
1360,1360,270.8851318359375,Q818888,False,False
648,648,270.8748474121094,Q19399674,False,False
1239,1239,270.7960205078125,Q7003418,False,False
1099,1099,270.7960205078125,Q534112,False,False
242,242,270.6888732910156,Q112661245,False,False
1408,1408,270.6888122558594,Q856741,False,False
1337,1337,270.6856689453125,Q79798,False,False
622,622,270.6679992675781,Q189900,False,False
589,589,270.6667785644531,Q186055,False,False
1478,1478,270.6328430175781,Q97009416,False,False
1203,1203,270.5953063964844,Q649732,False,False
1158,1158,270.5439758300781,Q6173448,False,False
1419,1419,270.5416564941406,Q865760,False,False
524,524,270.5359802246094,Q17146476,False,False
104,104,270.4970397949219,Q1054011,False,False
1454,1454,270.4412536621094,Q926821,False,False
914,914,270.4091491699219,Q3297804,False,False
1020,1020,270.4065856933594,Q45038012,False,False
546,546,270.3955993652344,Q176452,False,False
1071,1071,270.3887023925781,Q50423863,False,False
127,127,270.37347412109375,Q105849921,False,False
414,414,270.34368896484375,Q1332643,False,False
1013,1013,270.3277587890625,Q44337,False,False
846,846,270.31488037109375,Q28470421,False,False
1446,1446,270.29888916015625,Q9135,False,False
477,477,270.28460693359375,Q1569697,False,False
536,536,270.2424011230469,Q1744628,False,False
276,276,270.157958984375,Q1152399,False,False
562,562,270.1543884277344,Q179310,False,False
1232,1232,270.1519470214844,Q68,False,False
241,241,270.10321044921875,Q112661240,False,False
792,792,270.09417724609375,Q251212,False,False
483,483,270.0843505859375,Q15855099,False,False
1398,1398,270.03564453125,Q846636,False,False
478,478,270.01007080078125,Q15777,False,False
530,530,269.97979736328125,Q172491,False,False
983,983,269.9622802734375,Q3968,False,False
150,150,269.9323425292969,Q105864520,False,False
373,373,269.92059326171875,Q1229611,False,False
158,158,269.9151611328125,Q10609775,False,False
200,200,269.87249755859375,Q108281205,False,False
984,984,269.8512268066406,Q39680,False,False
650,650,269.847900390625,Q194152,False,False
822,822,269.8313293457031,Q272629,False,False
393,393,269.7881164550781,Q128392,False,False
791,791,269.7327575683594,Q251,False,False
354,354,269.7207946777344,Q119018971,False,False
1014,1014,269.71649169921875,Q44455,False,False
1047,1047,269.7104187011719,Q4778968,False,False
298,298,269.70123291015625,Q116950963,False,False
1350,1350,269.6929626464844,Q812540,False,False
605,605,269.69207763671875,Q188522,False,False
588,588,269.68865966796875,Q1860,False,False
640,640,269.68115234375,Q193040,False,False
255,255,269.66644287109375,Q1132755,False,False
772,772,269.66082763671875,Q23808,False,False
70,70,269.6436767578125,Q101333,False,False
399,399,269.64312744140625,Q1301371,False,False
775,775,269.6315002441406,Q2395230,False,False
1384,1384,269.608642578125,Q835922,False,False
833,833,269.5995178222656,Q28031555,False,False
176,176,269.5852355957031,Q107380511,False,False
644,644,269.5611267089844,Q193351,False,False
767,767,269.37237548828125,Q23542287,False,False
494,494,269.36676025390625,Q1635410,False,False
1341,1341,269.35150146484375,Q80091,False,False
1381,1381,269.3116455078125,Q831672,False,False
892,892,269.252197265625,Q30826373,False,False
1170,1170,269.24786376953125,Q622825,False,False
702,702,269.24688720703125,Q210832,False,False
499,499,269.2459716796875,Q166142,False,False
908,908,269.2001647949219,Q3257930,False,False
257,257,269.12249755859375,Q113403137,False,False
757,757,269.0518798828125,Q23016184,False,False
1042,1042,269.03216552734375,Q47607,False,False
855,855,268.9993591308594,Q2878974,False,False
1032,1032,268.9691162109375,Q467731,False,False
1108,1108,268.9618835449219,Q54439832,False,False
1136,1136,268.956787109375,Q583461,False,False
317,317,268.9507751464844,Q116964928,False,False
519,519,268.890625,Q170978,False,False
1345,1345,268.85809326171875,Q8084959,False,False
213,213,268.8543395996094,Q11012,False,False
36,36,268.849365234375,P3752,False,False
586,586,268.8373107910156,Q185612,False,False
1324,1324,268.83233642578125,Q76592,False,False
1326,1326,268.8263854980469,Q7673435,False,False
821,821,268.822021484375,Q272404,False,False
261,261,268.77850341796875,Q11368,False,False
1368,1368,268.7726135253906,Q8264625,False,False
1117,1117,268.76043701171875,Q55624999,False,False
788,788,268.7242126464844,Q2479726,False,False
818,818,268.6185302734375,Q2715623,False,False
283,283,268.6115417480469,Q1156474,False,False
1372,1372,268.602783203125,Q8272677,False,False
556,556,268.60107421875,Q177058,False,False
232,232,268.5954284667969,Q11205,False,False
776,776,268.5934753417969,Q2407,False,False
212,212,268.59112548828125,Q1099110,False,False
531,531,268.5826721191406,Q173142,False,False
884,884,268.5741271972656,Q30555529,False,False
438,438,268.5135192871094,Q1406,False,False
761,761,268.4939270019531,Q232661,False,False
919,919,268.4924011230469,Q334384,False,False
1051,1051,268.4761657714844,Q4798119,False,False
1418,1418,268.4677734375,Q8647009,False,False
437,437,268.42779541015625,Q1401416,False,False
1017,1017,268.41796875,Q4485156,False,False
349,349,268.3962707519531,Q11862829,False,False
274,274,268.3894348144531,Q1152135,False,False
12,12,268.3774719238281,P1482,False,False
551,551,268.3251037597656,Q176737,False,False
91,91,268.3174743652344,Q1049183,False,False
1054,1054,268.28515625,Q48493,False,False
769,769,268.25640869140625,Q2374463,False,False
380,380,268.25360107421875,Q12525525,False,False
412,412,268.22088623046875,Q1331926,False,False
1461,1461,268.2169189453125,Q9492,False,False
868,868,268.19598388671875,Q2916098,False,False
824,824,268.1694030761719,Q272735,False,False
582,582,268.1412353515625,Q184754,False,False
84,84,268.1319274902344,Q104659521,False,False
388,388,268.12841796875,Q12718609,False,False
1169,1169,268.1162109375,Q621751,False,False
677,677,268.11614990234375,Q2041543,False,False
1252,1252,268.1082763671875,Q7112560,False,False
618,618,268.1039733886719,Q189401,False,False
1173,1173,268.07879638671875,Q623818,False,False
85,85,268.0668640136719,Q104659813,False,False
1445,1445,268.06298828125,Q910404,False,False
512,512,268.0408020019531,Q17012245,False,False
1349,1349,268.0346374511719,Q812534,False,False
541,541,268.01202392578125,Q175869,False,False
1230,1230,268.0061340332031,Q676835,False,False
315,315,267.9796447753906,Q116964926,False,False
250,250,267.9496765136719,Q1130645,False,False
994,994,267.9366760253906,Q4182287,False,False
1247,1247,267.93011474609375,Q7035718,False,False
969,969,267.8852233886719,Q380679,False,False
446,446,267.8404541015625,Q1418502,False,False
1410,1410,267.8292541503906,Q858065,False,False
726,726,267.828369140625,Q21708200,False,False
89,89,267.8191223144531,Q104851,False,False
1471,1471,267.816162109375,Q962139,False,False
740,740,267.81573486328125,Q22277430,False,False
1421,1421,267.79998779296875,Q868299,False,False
1234,1234,267.7746276855469,Q6859388,False,False
535,535,267.76702880859375,Q173341,False,False
378,378,267.7458190917969,Q12483,False,False
1383,1383,267.73370361328125,Q833585,False,False
635,635,267.7251892089844,Q192726,False,False
275,275,267.71197509765625,Q115215420,False,False
935,935,267.7044372558594,Q341,False,False
601,601,267.6888122558594,Q187787,False,False
