,tail_id,score,tail_label,in_validation,in_testing
405,405,264.3892517089844,Q131476,False,False
27,27,77.15510559082031,P287,False,False
193,193,63.210113525390625,Q1076638,False,False
803,803,60.577919006347656,Q2600299,False,False
1148,1148,60.514892578125,Q60165325,False,False
34,34,58.465145111083984,P348,False,False
293,293,58.39100646972656,Q116777014,False,False
798,798,58.312191009521484,Q2539,False,False
655,655,57.504486083984375,Q194919,False,False
135,135,57.196659088134766,Q105850321,False,False
1295,1295,57.11997985839844,Q741490,False,False
358,358,56.71381378173828,Q1192971,False,False
1046,1046,56.397071838378906,Q47755251,False,False
1125,1125,55.22766876220703,Q5653416,False,False
1382,1382,55.028785705566406,Q83303,False,False
1012,1012,54.48181915283203,Q4417999,False,False
707,707,54.47727966308594,Q21198,False,False
348,348,53.73481369018555,Q1185804,False,False
245,245,53.68360137939453,Q11288,False,False
584,584,53.29815673828125,Q185020,False,False
1409,1409,52.876609802246094,Q857102,False,False
1344,1344,52.80072784423828,Q8078,False,False
740,740,52.18256378173828,Q22277430,False,False
1047,1047,52.09126281738281,Q4778968,False,False
694,694,51.854942321777344,Q208042,False,False
821,821,51.78289794921875,Q272404,False,False
312,312,51.69896697998047,Q116964922,False,False
600,600,51.14134979248047,Q187631,False,False
752,752,50.258872985839844,Q22725,False,False
145,145,50.105567932128906,Q105850634,False,False
822,822,49.72186279296875,Q272629,False,False
181,181,49.71568298339844,Q107381441,False,False
873,873,49.38269805908203,Q29642950,False,False
1368,1368,49.0814208984375,Q8264625,False,False
1309,1309,49.03419494628906,Q7553,False,False
320,320,48.720359802246094,Q116964933,False,False
1008,1008,48.493629455566406,Q4391903,False,False
112,112,47.7467041015625,Q105849597,False,False
1359,1359,46.92375946044922,Q817862,False,False
828,828,46.848846435546875,Q275596,False,False
980,980,46.729278564453125,Q3952330,False,False
913,913,46.69148254394531,Q327675,False,False
1150,1150,46.592926025390625,Q6030997,False,False
841,841,46.34366226196289,Q28324912,False,False
744,744,46.26850509643555,Q224055,False,False
1364,1364,46.15055465698242,Q82550,False,False
155,155,46.07247543334961,Q1058754,False,False
1323,1323,45.75149154663086,Q76505,False,False
429,429,45.57898712158203,Q1366323,False,False
47,47,45.530860900878906,P4428,False,False
982,982,45.08592987060547,Q3966,False,False
1111,1111,45.04567337036133,Q55080113,False,False
1175,1175,44.82853698730469,Q6265342,False,False
189,189,44.320770263671875,Q107381459,False,False
488,488,44.22309494018555,Q161733,False,False
896,896,43.84812927246094,Q30942,False,False
675,675,43.73759460449219,Q2035437,False,False
1169,1169,43.54352569580078,Q621751,False,False
839,839,43.52692413330078,Q282453,False,False
475,475,43.44447708129883,Q15563228,False,False
18,18,43.43627166748047,P1793,False,False
1199,1199,43.37303924560547,Q6465232,False,False
1458,1458,43.236602783203125,Q94,False,False
168,168,42.92698287963867,Q106993266,False,False
201,201,42.863861083984375,Q108496793,False,False
787,787,42.754459381103516,Q2465832,False,False
755,755,42.740787506103516,Q229371,False,False
240,240,42.671173095703125,Q11253473,False,False
69,69,42.417381286621094,Q10086859,False,False
1439,1439,42.324562072753906,Q895726,False,False
1038,1038,42.305686950683594,Q47165059,False,False
1192,1192,42.124916076660156,Q63721528,False,False
912,912,42.015541076660156,Q32767144,False,False
1319,1319,41.974700927734375,Q7604,False,False
1235,1235,41.901771545410156,Q690265,False,False
1091,1091,41.38615798950195,Q5282087,False,False
267,267,41.38373565673828,Q1143367,False,False
746,746,41.27240753173828,Q22670878,False,False
470,470,41.05926513671875,Q151885,False,False
272,272,41.05925369262695,Q114869997,False,False
365,365,41.001976013183594,Q120208,False,False
1006,1006,40.97684097290039,Q4355609,False,False
647,647,40.89573669433594,Q1936384,False,False
1213,1213,40.8309326171875,Q6571566,False,False
1395,1395,40.81470489501953,Q845118,False,False
935,935,40.56292724609375,Q341,False,False
