,tail_id,score,tail_label,in_validation,in_testing
1386,1386,1.6973687410354614,Q8366,False,False
707,707,1.5527421236038208,Q21198,False,False
1232,1232,1.5131914615631104,Q68,False,False
1447,1447,1.5016790628433228,Q9143,False,False
524,524,1.401200771331787,Q17146476,False,False
791,791,1.3906513452529907,Q251,False,False
1032,1032,1.361447811126709,Q467731,False,False
685,685,1.344207763671875,Q206904,False,False
714,714,1.3438730239868164,Q21447895,False,False
72,72,1.3433468341827393,Q1026367,False,False
1340,1340,1.3094395399093628,Q80006,False,False
1292,1292,1.2924470901489258,Q7397,False,False
1347,1347,1.2714042663574219,Q80993,False,False
290,290,1.2094370126724243,Q11660,False,False
499,499,1.2069385051727295,Q166142,False,False
1071,1071,1.2034363746643066,Q50423863,False,False
918,918,1.198115587234497,Q333464,False,False
540,540,1.1860103607177734,Q175263,False,False
1337,1337,1.1845362186431885,Q79798,False,False
281,281,1.1382514238357544,Q115564437,False,False
798,798,1.131579875946045,Q2539,False,False
977,977,1.131144404411316,Q388,False,False
857,857,1.1290184259414673,Q28865,False,False
883,883,1.121646761894226,Q3050461,False,False
274,274,1.1018399000167847,Q1152135,False,False
748,748,1.088273048400879,Q2267705,False,False
589,589,1.057989239692688,Q186055,False,False
620,620,1.0499955415725708,Q189439,False,False
399,399,1.0337331295013428,Q1301371,False,False
889,889,0.9832183122634888,Q30642,False,False
1461,1461,0.9828178286552429,Q9492,False,False
1138,1138,0.9531875848770142,Q5862903,False,False
769,769,0.9316604733467102,Q2374463,False,False
1405,1405,0.9292908906936646,Q8513,False,False
1136,1136,0.9168894290924072,Q583461,False,False
1412,1412,0.91114342212677,Q858810,False,False
1394,1394,0.9039683938026428,Q844718,False,False
510,510,0.8996233940124512,Q170058,False,False
678,678,0.8925334215164185,Q205084,False,False
1446,1446,0.8921675086021423,Q9135,False,False
443,443,0.8850443959236145,Q141488,False,False
405,405,0.8697113990783691,Q131476,False,False
641,641,0.8689031004905701,Q193076,False,False
846,846,0.8488642573356628,Q28470421,False,False
1170,1170,0.8370934724807739,Q622825,False,False
1016,1016,0.8343772292137146,Q4479242,False,False
1425,1425,0.8336347937583923,Q874709,False,False
394,394,0.8335678577423096,Q128570,False,False
293,293,0.8325576782226562,Q116777014,False,False
444,444,0.8316753506660461,Q141495,False,False
236,236,0.8258338570594788,Q11216,False,False
530,530,0.8203833699226379,Q172491,False,False
624,624,0.81919264793396,Q190087,False,False
1287,1287,0.8131659030914307,Q735441,False,False
586,586,0.8027955889701843,Q185612,False,False
1030,1030,0.7922341823577881,Q4671286,False,False
583,583,0.7869849801063538,Q184793,False,False
1392,1392,0.7789325714111328,Q844240,False,False
648,648,0.7741200923919678,Q19399674,False,False
519,519,0.766356885433197,Q170978,False,False
605,605,0.7613892555236816,Q188522,False,False
615,615,0.761014461517334,Q189210,False,False
1000,1000,0.7571147680282593,Q42848,False,False
1373,1373,0.7464613914489746,Q827335,False,False
547,547,0.7464513778686523,Q176623,False,False
1047,1047,0.7447094917297363,Q4778968,False,False
636,636,0.7366963028907776,Q192776,False,False
650,650,0.7353022694587708,Q194152,False,False
378,378,0.732180118560791,Q12483,False,False
1454,1454,0.724675714969635,Q926821,False,False
86,86,0.7239384055137634,Q1047113,False,False
1365,1365,0.7211226224899292,Q82571,False,False
688,688,0.7188925743103027,Q207434,False,False
935,935,0.7170406579971313,Q341,False,False
832,832,0.7155123949050903,Q27948,False,False
478,478,0.6974255442619324,Q15777,False,False
771,771,0.6970940828323364,Q23793561,False,False
792,792,0.6899503469467163,Q251212,False,False
770,770,0.6797242164611816,Q23766486,False,False
783,783,0.6794686317443848,Q245748,False,False
