,tail_id,score,tail_label,in_validation,in_testing
542,542,30.80500602722168,Q1759657,False,False
925,925,28.866474151611328,Q336038,False,False
1104,1104,28.194080352783203,Q53756551,False,False
1336,1336,27.83075714111328,Q796212,False,False
357,357,27.44264030456543,Q1192422,False,False
355,355,27.354511260986328,Q11917068,False,False
1169,1169,27.013019561767578,Q621751,False,False
278,278,26.978858947753906,Q11538,False,False
835,835,26.813047409057617,Q28113351,False,False
667,667,26.51982879638672,Q200125,False,False
561,561,26.33388900756836,Q178677,False,False
1010,1010,25.98110580444336,Q43967068,False,False
1013,1013,25.506057739257812,Q44337,False,False
727,727,25.354900360107422,Q21711047,False,False
1322,1322,24.22987174987793,Q764810,False,False
136,136,24.150955200195312,Q105850478,False,False
616,616,23.619823455810547,Q18922260,False,False
917,917,23.222436904907227,Q3331475,False,False
1031,1031,22.83223533630371,Q467252,False,False
954,954,22.588886260986328,Q366872,False,False
885,885,22.469966888427734,Q30556303,False,False
666,666,22.362808227539062,Q1993334,False,False
541,541,21.902320861816406,Q175869,False,False
572,572,21.683773040771484,Q182557,False,False
779,779,21.683712005615234,Q2424752,False,False
762,762,21.37242889404297,Q2334061,False,False
880,880,20.78610610961914,Q30267,False,False
919,919,20.70770263671875,Q334384,False,False
1349,1349,20.6652774810791,Q812534,False,False
1266,1266,20.422033309936523,Q7216428,False,False
1308,1308,20.372241973876953,Q752718,False,False
107,107,20.20476531982422,Q105604957,False,False
392,392,20.171279907226562,Q1283865,False,False
190,190,20.079540252685547,Q107381460,False,False
244,244,19.881263732910156,Q112821452,False,False
1255,1255,19.63247299194336,Q7126699,False,False
1433,1433,19.45660400390625,Q8811,False,False
769,769,19.404050827026367,Q2374463,False,False
373,373,19.187358856201172,Q1229611,False,False
1232,1232,19.184471130371094,Q68,False,False
1181,1181,19.182205200195312,Q6303648,False,False
626,626,19.17440414428711,Q190212,False,False
1121,1121,19.01631736755371,Q5597177,False,False
682,682,18.994956970214844,Q2061913,False,False
210,210,18.98733139038086,Q109558711,False,False
228,228,18.84060287475586,Q1116876,False,False
1280,1280,18.79151153564453,Q7285270,False,False
1163,1163,18.734100341796875,Q6200392,False,False
1347,1347,18.715476989746094,Q80993,False,False
1145,1145,18.526805877685547,Q5962346,False,False
1127,1127,18.445886611938477,Q567759,False,False
159,159,18.411685943603516,Q1061656,False,False
1279,1279,18.38273811340332,Q7279338,False,False
352,352,18.356399536132812,Q1189053,False,False
1389,1389,18.35268783569336,Q840540,False,False
